model,parameters,t1_f1_score,t1_auc_score,t1_time,t2_f1_score,t2_auc_score,t2_time,t3_f1_score,t3_auc_score,t3_time,t4_f1_score,t4_auc_score,t4_time,t5_f1_score,t5_auc_score,t5_time,t6_f1_score,t6_auc_score,t6_time,t7_f1_score,t7_auc_score,t7_time,t8_f1_score,t8_auc_score,t8_time,t9_f1_score,t9_auc_score,t9_time,t10_f1_score,t10_auc_score,t10_time,avg_f1score,avg_auc_score,avg_time
DecisionTreeClassifier,{},0.69,0.8103701529983989,0.13,0.69,0.8105414813959071,0.12,0.7,0.8157368560314235,0.11,0.69,0.8141922601478158,0.12,0.69,0.8101506055010962,0.13,0.7,0.8184721597028691,0.13,0.69,0.8114167236630883,0.12,0.7,0.8144442496002184,0.13,0.7,0.8153765813097974,0.12,0.7,0.8169544891705605,0.13,0.7,0.81,0.12
DecisionTreeClassifier,{'criterion': 'entropy'},0.71,0.8189805343900607,0.26,0.71,0.8190636062718167,0.34,0.71,0.8197844493651909,0.43,0.71,0.8220344005660335,0.29,0.71,0.8212111682188654,0.37,0.7,0.8161930946449812,0.34,0.7,0.8170552432968546,0.26,0.71,0.8199409239383425,0.32,0.71,0.8223167385491242,0.28,0.7,0.8179817882797773,0.27,0.71,0.82,0.32
DecisionTreeClassifier,{'max_depth': 8},0.54,0.8941625723628893,0.06,0.54,0.8961838932733606,0.06,0.54,0.8941239104304497,0.08,0.54,0.8918164137846164,0.07,0.54,0.893034762137387,0.06,0.54,0.893829053012934,0.06,0.54,0.8941998657952723,0.06,0.54,0.8954849096512106,0.07,0.54,0.8933972066734768,0.08,0.54,0.8956619600465094,0.08,0.54,0.89,0.07
DecisionTreeClassifier,{'max_depth': 32},0.69,0.8122659237912773,0.12,0.7,0.8192458049343515,0.12,0.7,0.8138449498512211,0.16,0.7,0.8158625536316544,0.13,0.7,0.8158160794174929,0.12,0.71,0.8191428933136317,0.12,0.7,0.8136071728557425,0.12,0.7,0.8142328988919171,0.12,0.7,0.8209215207425145,0.12,0.7,0.8157492211295241,0.13,0.7,0.82,0.13
DecisionTreeClassifier,{'min_samples_split': 0.1},0.46,0.8974992210796273,0.07,0.46,0.897067826156064,0.06,0.46,0.8974992210796273,0.06,0.46,0.8974992210796273,0.06,0.46,0.897498284920031,0.06,0.46,0.897498284920031,0.06,0.46,0.8973607573321761,0.06,0.46,0.8970687623156602,0.06,0.46,0.8977902799365468,0.06,0.46,0.8970687623156602,0.06,0.46,0.9,0.06
DecisionTreeClassifier,{'min_samples_split': 0.5},0.34,0.807124783610739,0.03,0.34,0.8067455011684134,0.03,0.34,0.807124783610739,0.04,0.34,0.8067455011684134,0.04,0.34,0.8067455011684134,0.04,0.34,0.8067455011684134,0.04,0.34,0.8067455011684134,0.03,0.34,0.807124783610739,0.03,0.34,0.8067455011684134,0.03,0.34,0.8067455011684134,0.03,0.34,0.81,0.03
DecisionTreeClassifier,{'min_samples_split': 1.0},0.22,0.5985586178546436,0.02,0.22,0.5985586178546436,0.01,0.22,0.5985586178546436,0.01,0.22,0.5985586178546436,0.01,0.22,0.5985586178546436,0.01,0.22,0.5985586178546436,0.01,0.22,0.5985586178546436,0.01,0.22,0.5985586178546436,0.01,0.22,0.5985586178546436,0.01,0.22,0.5985586178546436,0.01,0.22,0.6,0.01
DecisionTreeClassifier,{'min_samples_split': 5},0.68,0.8278753482930075,0.12,0.68,0.8250564539381318,0.12,0.69,0.8318321181422474,0.12,0.68,0.8223547027142817,0.12,0.69,0.8291596576447162,0.12,0.68,0.827420818300314,0.14,0.69,0.8283279119673969,0.14,0.68,0.8269402209317458,0.12,0.68,0.8252712681885941,0.11,0.68,0.8266127926497668,0.12,0.68,0.83,0.12
DecisionTreeClassifier,{'min_samples_split': 10},0.67,0.8472212570126815,0.12,0.67,0.8483488268129232,0.1,0.67,0.8436702174398795,0.11,0.68,0.8480824790080707,0.11,0.68,0.8499734408598669,0.11,0.67,0.8477588378770685,0.12,0.68,0.8468791771540091,0.12,0.67,0.8461945588638354,0.13,0.68,0.8488759460199564,0.14,0.67,0.8482445934164575,0.1,0.67,0.85,0.12
DecisionTreeClassifier,{'min_samples_leaf': 20},0.61,0.9057065299996437,0.08,0.61,0.9057731815621772,0.09,0.61,0.9052906889167323,0.09,0.61,0.9046916802420107,0.08,0.61,0.9056669346063082,0.09,0.61,0.9056044577338014,0.1,0.61,0.9054229274365766,0.09,0.61,0.9050521049160885,0.09,0.61,0.9055951041890357,0.09,0.61,0.904696982228679,0.09,0.61,0.91,0.09
RandomForestClassifier,{},0.81,0.9510571958448873,0.18,0.81,0.9573901516755321,0.21,0.8,0.9526677830944448,0.18,0.81,0.9523615474594898,0.19,0.81,0.9461628084393294,0.2,0.81,0.9589345543150143,0.2,0.79,0.9509275991055525,0.19,0.82,0.9508853296326227,0.18,0.81,0.9514992893484179,0.22,0.81,0.9524710075128513,0.24,0.81,0.95,0.2
RandomForestClassifier,{'n_estimators': 100},0.87,0.9856348830616412,1.82,0.87,0.9871091238752664,1.94,0.87,0.9870060586800568,1.87,0.87,0.9864764618729254,1.88,0.87,0.9853023864778718,1.84,0.87,0.9890287188356172,1.91,0.87,0.9871338545950105,1.85,0.87,0.988805344833965,1.69,0.87,0.9876131062513374,1.73,0.86,0.9873114958987765,1.84,0.87,0.99,1.84
RandomForestClassifier,{'n_estimators': 200},0.87,0.988734011147099,3.63,0.87,0.9900464672577232,4.14,0.87,0.988823602379478,4.28,0.87,0.9881097611990931,4.15,0.87,0.9878799923575086,4.03,0.87,0.9887730702296399,3.93,0.87,0.9894621525632475,3.98,0.87,0.9877199873723564,4.02,0.88,0.9902303213340893,3.74,0.87,0.9891056898926095,4.11,0.87,0.99,4.0
RandomForestClassifier,{'n_estimators': 300},0.88,0.990480531740455,6.0,0.87,0.9904155860648333,6.05,0.88,0.9899751478850869,5.84,0.87,0.990032337705126,5.55,0.87,0.9893083059591158,5.8,0.87,0.9899038509203528,5.98,0.88,0.9904782615881212,5.98,0.87,0.9892301320887152,5.88,0.87,0.9896294054547589,6.22,0.87,0.9896397659153144,5.9,0.87,0.99,5.92
